# Key    Seek pos (sec)
#           v1    v2    v3    v4    v5    v6    v7    v8    v9   v10   v11   v12   v13   v14   v15   v16
# start@0.018
021_A0   0.000 0.006 0.006 0.003 0.005 0.017 0.000 0.007 0.007 0.019 0.007 0.006 0.021 0.011 0.001 0.019
# start@0.016
024_C1   0.014 0.041 0.041 0.031 0.026 0.024 0.022 0.021 0.021 0.013 0.033 0.029 0.034 0.034 0.029 0.031
# start@0.014
027_D#1  0.008 0.009 0.010 0.015 0.009 0.014 0.012 0.013 0.012 0.010 0.012 0.010 0.014 0.012 0.013 0.014
# start@0.012
030_F#1  0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
# start@0.010
033_A1   0.000 0.000 0.000 0.000 0.001 0.001 0.007 0.005 0.000 0.007 0.006 0.006 0.006 0.003 0.007 0.006
036_C2   0.002 0.004 0.005 0.009 0.004 0.003 0.006 0.005 0.005 0.006 0.006 0.003 0.004 0.002 0.003 0.006
039_D#2  0.004 0.000 0.000 0.004 0.002 0.002 0.002 0.004 0.003 0.004 0.004 0.005 0.007 0.007 0.007 0.007
042_F#2  0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
045_A2   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
048_C3   0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
051_D#3  0.009 0.006 0.007 0.008 0.006 0.007 0.007 0.007 0.007 0.004 0.006 0.006 0.007 0.008 0.007 0.009
054_F#3  0.006 0.004 0.004 0.008 0.012 0.009 0.006 0.007 0.007 0.004 0.006 0.006 0.006 0.007 0.004 0.009
057_A3   0.003 0.003 0.002 0.005 0.005 0.003 0.005 0.004 0.005 0.005 0.006 0.007 0.007 0.007 0.005 0.008
060_C4   0.005 0.005 0.005 0.006 0.007 0.007 0.006 0.008 0.008 0.008 0.005 0.005 0.007 0.004 0.007 0.006
063_D#4  0.005 0.002 0.004 0.006 0.007 0.004 0.005 0.005 0.003 0.004 0.005 0.002 0.004 0.004 0.004 0.005
066_F#4  0.001 0.003 0.004 0.002 0.003 0.004 0.005 0.006 0.006 0.002 0.003 0.004 0.000 0.002 0.004 0.003
069_A4   0.004 0.004 0.005 0.005 0.005 0.004 0.002 0.003 0.005 0.003 0.004 0.002 0.004 0.006 0.003 0.004
072_C5   0.002 0.004 0.003 0.002 0.002 0.004 0.004 0.000 0.004 0.005 0.007 0.007 0.002 0.005 0.005 0.005
075_D#5  0.008 0.009 0.007 0.010 0.010 0.009 0.010 0.010 0.008 0.010 0.009 0.008 0.008 0.010 0.010 0.010
# start@0.007
078_F#5  0.005 0.005 0.007 0.006 0.007 0.007 0.008 0.008 0.007 0.009 0.008 0.006 0.009 0.007 0.007 0.007
081_A5   0.006 0.006 0.016 0.009 0.015 0.001 0.004 0.001 0.006 0.002 0.006 0.006 0.012 0.008 0.001 0.025
084_C6   0.016 0.026 0.021 0.009 0.009 0.009 0.005 0.009 0.004 0.004 0.006 0.006 0.006 0.004 0.006 0.006
087_D#6  0.006 0.009 0.006 0.005 0.005 0.005 0.005 0.007 0.005 0.004 0.005 0.007 0.005 0.006 0.005 0.006
090_F#6  0.007 0.006 0.007 0.007 0.007 0.006 0.006 0.007 0.006 0.009 0.005 0.006 0.005 0.005 0.005 0.006
093_A6   0.009 0.007 0.006 0.005 0.004 0.006 0.007 0.006 0.006 0.004 0.007 0.005 0.006 0.008 0.006 0.006
096_C7   0.005 0.009 0.007 0.004 0.004 0.008 0.005 0.005 0.006 0.006 0.006 0.006 0.008 0.005 0.005 0.004
099_D#7  0.004 0.007 0.007 0.007 0.005 0.003 0.005 0.009 0.006 0.009 0.009 0.005 0.005 0.006 0.004 0.004
102_F#7  0.007 0.003 0.006 0.007 0.006 0.008 0.007 0.008 0.005 0.005 0.010 0.006 0.005 0.006 0.004 0.009
# start@0.005
105_A7   0.009 0.008 0.008 0.008 0.008 0.007 0.008 0.008 0.009 0.008 0.008 0.008 0.006 0.008 0.008 0.008
108_C8   0.008 0.009 0.007 0.008 0.008 0.009 0.007 0.010 0.007 0.008 0.007 0.007 0.008 0.007 0.009 0.010
